timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
152380.348,53.223,36.621,47.363,39.551,84.961,0
152380.352,34.180,31.738,48.828,36.133,86.426,0
152380.356,-5.859,16.602,46.387,13.672,34.180,0
152380.360,7.324,17.090,62.988,17.090,51.758,0
152380.364,39.062,27.344,50.781,25.391,77.148,0
152380.368,43.945,36.621,24.414,24.902,49.805,0
152380.372,19.043,20.020,9.277,14.648,-9.766,0
152380.376,10.254,15.625,10.254,17.578,-65.918,0
152380.380,40.527,22.461,31.250,34.180,5.859,0
152380.384,51.758,33.203,44.434,41.504,54.688,0
152380.387,24.414,40.039,49.805,30.273,2.930,0
152380.391,13.672,32.227,43.457,21.973,-10.742,0
152380.391,29.785,35.156,35.156,24.902,41.016,0
152380.395,44.922,40.527,33.203,24.414,81.543,0
152380.399,41.504,46.387,32.227,30.762,44.922,0
152380.403,28.320,40.039,45.898,35.645,-4.395,0
152380.407,40.527,31.738,52.734,36.621,42.480,0
152380.411,49.316,29.297,45.898,35.645,91.797,0
152380.415,38.574,27.832,33.203,32.715,62.988,0
152380.419,19.531,24.902,35.156,34.668,41.992,0
152380.423,22.949,28.320,41.016,36.621,43.945,0
152380.426,50.781,34.668,52.246,44.922,91.797,0
152380.430,48.340,31.250,41.016,46.387,107.910,0
152380.434,35.156,38.086,26.855,47.852,43.945,0
152380.438,23.438,34.180,28.320,39.062,7.324,0
152380.442,25.391,16.113,26.855,21.973,36.621,0
152380.445,38.086,24.902,38.086,20.508,63.965,0
152380.449,30.762,37.109,38.086,24.414,48.340,0
152380.453,20.996,37.109,27.832,30.273,9.766,0
152380.457,37.598,34.180,28.809,39.062,57.617,0
152380.461,56.152,37.109,39.062,41.992,103.027,0
152380.465,48.340,49.316,33.203,44.434,69.824,0
152380.469,31.250,47.852,33.691,41.016,17.578,0
152380.473,22.461,29.297,45.898,24.414,23.926,0
152380.477,30.762,20.996,39.551,19.043,90.820,0
152380.481,31.738,25.391,35.156,21.973,84.961,0
152380.496,13.672,26.367,44.922,21.484,-20.020,0
152380.500,19.531,24.414,46.875,30.273,2.930,0
152380.504,54.199,27.344,38.086,51.270,81.543,0
152380.508,56.152,36.133,33.203,47.852,49.805,0
152380.512,27.832,37.598,39.551,32.227,3.418,0
152380.516,29.297,41.504,44.434,38.574,-29.297,0
152380.520,45.898,41.992,26.855,36.621,6.348,0
152380.524,45.410,37.598,22.949,27.344,56.152,0
152380.528,28.320,27.344,24.414,25.391,1.953,0
152380.532,26.855,34.668,11.230,34.668,-20.020,0
152380.535,42.480,38.086,19.043,35.156,68.848,0
152380.539,42.969,15.137,47.363,23.926,92.285,0
152380.541,25.391,10.742,61.523,14.648,54.199,0
152380.545,6.348,24.414,62.500,14.160,-16.113,0
152380.549,18.066,34.180,53.223,28.809,-28.320,0
152380.553,44.922,33.691,41.992,40.527,38.574,0
152380.557,39.551,33.203,41.016,35.156,40.039,0
152380.561,18.555,37.598,20.996,31.738,-9.766,0
152380.565,31.738,43.457,16.113,45.410,-59.082,0
152380.569,50.293,40.039,38.086,50.293,-12.207,0
152380.573,41.992,31.738,43.457,36.621,20.508,0
152380.577,18.066,29.785,42.969,24.414,-44.434,0
152380.580,12.207,28.809,49.316,30.273,-35.156,0
152380.584,42.969,34.180,58.105,46.875,89.355,0
152380.586,56.641,32.715,39.062,45.898,115.723,0
152380.590,29.785,32.227,-0.977,31.738,34.668,0
152380.594,14.160,43.457,-0.488,27.832,7.812,0
152380.598,24.414,40.527,46.387,28.320,15.625,0
152380.602,32.227,29.297,56.152,20.996,46.387,0
152380.606,31.250,29.785,48.828,24.902,54.688,0
152380.610,38.574,48.340,60.059,43.457,-3.906,0
152380.614,45.410,40.039,36.621,41.504,23.438,0
152380.618,52.246,18.066,10.254,31.250,34.668,0
152380.622,55.664,20.996,14.648,38.086,8.301,0
152380.625,29.785,29.785,32.227,33.203,8.789,0
152380.629,18.066,40.039,49.805,22.949,-3.418,0
152380.631,40.039,41.992,47.852,30.273,2.441,0
152380.635,46.387,35.645,41.992,29.785,34.180,0
152380.639,26.855,30.762,36.133,20.020,26.367,0
152380.643,20.020,35.645,32.227,27.344,-39.551,0
152380.647,41.504,33.203,28.809,36.133,0.977,0
152380.651,60.059,30.273,17.090,41.016,51.758,0
152380.655,61.035,48.828,26.855,57.129,-0.488,0
152380.659,33.203,42.969,54.688,41.992,-41.016,0
152380.663,22.461,17.578,51.270,20.508,6.348,0
152380.666,46.387,20.508,37.598,29.785,77.637,0
152380.670,42.969,23.438,26.367,31.250,65.430,0
152380.674,23.926,17.090,1.465,28.809,20.020,0
152380.677,27.344,23.926,6.348,31.738,33.203,0
152380.681,48.340,30.762,41.992,35.156,105.957,0
152380.685,48.340,29.297,57.617,32.715,115.234,0
152380.689,22.461,32.715,40.039,25.879,20.508,0
152380.693,11.719,35.645,31.250,23.926,20.996,0
152380.697,52.246,45.898,57.617,49.316,69.824,0
152380.700,70.801,39.551,56.152,60.547,30.273,0
152380.704,18.555,17.090,28.320,21.973,-32.227,0
152380.708,-5.859,24.414,25.879,4.395,-43.457,0
152380.712,25.391,34.180,37.109,20.020,14.648,0
152380.716,50.781,37.109,36.133,36.133,65.430,0
152380.720,41.504,35.156,38.574,34.180,61.523,0
152380.721,20.508,25.879,10.254,32.715,9.277,0
152380.725,26.367,23.926,1.465,39.062,42.969,0
152380.729,41.992,31.738,45.410,39.551,104.492,0
152380.733,28.320,33.691,48.340,32.227,108.887,0
152380.737,4.395,27.344,36.133,25.391,54.199,0
152380.741,12.207,29.297,33.203,30.273,20.508,0
152380.745,41.504,30.762,36.621,40.527,71.777,0
152380.749,48.828,35.645,56.641,45.410,79.102,0
152380.753,27.344,37.598,59.570,33.203,51.758,0
152380.757,16.602,24.414,42.969,20.996,11.719,0
152380.760,42.480,22.949,42.480,35.156,56.152,0
152380.764,49.316,27.832,44.922,35.645,96.680,0
152380.766,26.367,30.273,30.762,23.926,85.449,0
152380.770,16.602,24.414,10.254,29.297,50.293,0
152380.774,38.574,24.902,20.508,39.551,12.207,0
152380.778,56.152,40.527,35.156,38.574,16.113,0
152380.782,44.922,45.898,47.852,31.250,2.441,0
152380.786,28.809,53.223,56.641,38.086,-28.320,0
152380.790,29.785,42.969,35.156,36.621,-16.602,0
152380.794,46.387,30.273,38.086,35.156,57.617,0
152380.798,55.176,36.621,54.688,45.898,77.637,0
152380.801,38.086,41.016,47.363,43.945,15.625,0
152380.805,35.156,38.574,31.738,39.062,-18.555,0
152380.809,56.641,35.156,33.691,43.945,29.297,0
152380.826,55.664,38.574,38.086,41.504,58.105,0
152380.830,37.109,47.363,42.969,39.062,3.906,0
152380.834,27.344,42.480,40.527,28.320,-37.109,0
152380.838,43.945,33.691,33.203,30.273,8.301,0
152380.842,54.199,34.668,32.227,40.039,60.059,0
152380.846,35.156,40.039,35.156,32.227,49.316,0
152380.850,20.020,36.133,37.598,20.996,-14.648,0
152380.854,33.203,35.645,44.434,29.785,16.602,0
152380.858,55.176,43.457,45.410,43.457,67.383,0
152380.862,44.922,40.039,38.574,40.039,40.527,0
152380.865,22.949,32.227,27.832,32.227,-3.418,0
152380.869,31.250,29.785,8.301,35.645,32.227,0
152380.871,47.363,36.133,9.277,35.156,115.723,0
152380.875,36.133,40.039,41.504,24.414,117.676,0
152380.879,17.578,35.156,48.828,16.602,21.973,0
152380.883,17.578,34.180,42.969,18.066,-10.742,0
152380.887,34.180,36.133,42.480,22.461,59.082,0
152380.891,44.922,30.762,23.926,26.367,68.359,0
152380.895,28.320,22.949,9.277,27.344,18.066,0
152380.899,15.625,32.715,24.414,32.715,16.602,0
152380.903,34.668,43.457,56.641,41.992,55.664,0
152380.907,29.785,25.391,60.547,26.367,48.828,0
152380.910,3.418,12.207,51.270,9.766,29.297,0
152380.914,-2.930,23.438,50.781,9.277,19.043,0
152380.916,19.531,26.367,36.133,13.184,31.738,0
152380.920,42.969,27.344,31.250,22.461,52.734,0
152380.924,30.762,35.645,31.250,22.461,7.324,0
152380.928,2.930,37.598,20.508,17.090,-29.785,0
152380.932,14.160,34.180,30.762,24.414,-15.625,0
152380.936,47.363,30.762,32.227,40.527,13.672,0
152380.940,49.805,28.809,16.602,45.898,10.742,0
152380.944,27.344,30.273,41.016,40.039,-6.836,0
152380.948,20.020,28.809,61.523,32.227,-40.039,2
152380.951,36.621,26.367,51.270,26.367,-12.207,0
152380.955,44.922,30.273,42.480,32.227,62.012,0
152380.959,33.203,40.039,41.992,38.086,26.855,0
152380.963,32.715,41.016,30.762,43.945,-1.953,0
152380.967,56.641,35.645,12.207,54.688,64.941,0
152380.970,61.035,41.016,-2.441,43.457,82.520,0
152380.974,42.480,39.551,18.555,32.227,53.711,0
152380.978,29.785,31.250,66.406,29.297,-0.488,0
152380.982,37.598,33.691,70.801,29.785,-10.254,0
152380.986,33.691,30.273,51.270,20.020,65.430,0
152380.990,23.438,31.250,40.039,17.090,67.383,0
152380.994,20.996,34.180,39.551,25.391,-27.832,0
152380.998,18.555,28.809,35.156,21.484,0.000,0
152381.002,40.527,33.203,33.203,26.855,97.656,0
152381.006,49.316,33.203,33.203,31.738,44.434,0
152381.006,26.367,27.344,19.531,26.367,-7.324,0
152381.010,22.949,30.273,25.879,33.691,5.371,0
152381.014,52.246,38.086,35.645,50.781,41.992,0
152381.018,55.176,38.086,30.273,47.852,58.105,0
152381.022,25.879,34.180,41.016,35.645,22.461,0
152381.026,-0.488,26.855,41.992,25.391,4.395,0
152381.030,11.719,20.020,40.527,26.367,41.016,0
152381.034,41.016,27.832,43.945,35.156,59.082,0
152381.038,33.203,25.391,39.551,32.227,29.785,0
152381.042,15.137,16.602,40.527,32.227,32.715,0
152381.046,31.738,28.809,43.457,43.945,49.805,0
152381.049,56.641,37.109,33.203,45.410,73.730,0
152381.051,46.875,32.715,14.160,30.273,68.848,0
152381.055,29.297,35.645,20.508,31.250,9.277,0
152381.059,34.668,41.992,36.621,38.086,22.949,0
152381.063,57.617,39.062,23.926,41.504,40.527,0
152381.067,60.059,40.039,30.762,40.527,7.324,0
152381.071,40.527,39.062,49.805,39.551,-41.992,0
152381.075,25.879,31.738,44.922,38.574,-47.852,0
152381.079,38.574,27.344,46.875,39.062,-12.695,0
152381.083,51.758,25.879,46.387,43.945,14.160,0
152381.086,36.621,25.391,35.156,44.922,26.367,0
152381.090,27.832,35.156,34.180,46.387,-44.434,0
152381.094,41.504,34.180,42.480,44.434,-1.953,0
