timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
119876.676,47.363,35.156,35.645,49.316,-58.594,0
119876.680,52.246,37.598,24.902,46.875,-15.137,0
119876.684,28.320,37.598,17.578,39.062,-27.344,0
119876.688,14.160,28.809,19.531,35.645,-28.320,0
119876.692,32.227,22.949,10.742,40.527,-0.977,0
119876.695,50.781,30.273,6.836,45.410,27.344,0
119876.699,37.598,35.156,16.602,39.062,16.113,0
119876.703,17.578,32.227,21.973,37.598,-15.137,0
119876.707,26.367,30.273,22.949,39.551,-26.367,0
119876.711,47.852,29.785,20.996,42.480,11.719,0
119876.715,46.875,31.738,24.414,43.945,6.836,0
119876.719,25.391,32.227,34.668,39.062,-68.848,0
119876.735,29.785,28.320,35.645,41.992,-92.773,0
119876.739,55.176,22.949,29.785,47.363,-42.969,0
119876.743,53.223,26.855,24.414,44.434,-4.883,0
119876.746,29.785,35.645,23.438,40.039,-67.871,0
119876.750,21.973,33.691,22.949,40.527,-101.074,0
119876.754,46.875,29.785,21.973,50.293,-73.242,0
119876.758,62.500,32.227,22.949,54.688,-43.945,0
119876.762,39.062,33.203,21.973,42.480,-27.344,0
119876.766,22.949,32.227,25.391,37.598,-59.570,0
119876.770,44.922,38.086,32.227,46.875,-61.035,0
119876.774,61.523,39.551,27.344,46.387,-8.789,0
119876.778,49.316,36.621,23.438,40.527,-21.484,0
119876.780,29.297,35.156,30.273,40.527,-56.152,0
119876.784,33.203,38.574,26.855,39.551,-41.992,0
119876.787,52.246,40.039,24.902,39.551,-4.883,0
119876.791,44.922,33.203,34.180,37.109,17.090,0
119876.795,19.531,31.738,35.645,32.227,-68.359,0
119876.799,19.043,34.180,27.344,36.133,-84.961,0
119876.803,46.387,35.156,25.879,46.387,-19.531,0
119876.807,48.828,37.109,28.320,45.410,-18.066,0
119876.811,21.973,38.574,30.762,32.715,-38.574,0
119876.815,12.207,36.621,31.738,30.273,-62.500,0
119876.819,31.250,29.297,28.320,37.598,1.465,0
119876.823,45.410,29.785,27.344,38.574,38.086,0
119876.825,30.762,34.180,25.879,30.273,-27.832,0
119876.829,11.230,31.738,30.762,26.367,-46.387,0
119876.832,27.344,30.762,29.785,33.203,-7.812,0
119876.836,57.129,36.133,24.902,44.922,-10.254,0
119876.840,50.293,39.551,28.320,44.434,-28.809,0
119876.844,23.438,36.133,26.855,33.203,-64.453,0
119876.848,33.691,37.598,31.738,36.621,-82.520,0
119876.852,58.105,37.109,36.133,41.016,2.441,0
119876.856,44.922,31.250,25.391,30.762,-17.578,0
119876.860,15.625,32.227,23.438,28.320,-56.152,0
119876.864,11.719,31.250,27.344,31.250,-21.484,0
119876.868,38.086,35.156,24.902,33.691,-11.230,0
119876.870,48.828,32.715,27.832,37.109,-6.348,0
119876.874,30.762,27.344,29.297,37.598,-27.344,0
119876.877,16.113,23.438,20.020,26.855,-69.824,0
119876.881,36.621,24.414,12.207,27.832,-43.457,0
119876.885,55.664,27.344,15.625,38.086,7.812,0
119876.889,40.039,30.762,27.344,34.668,-25.391,0
119876.893,21.484,38.574,33.203,35.645,-72.754,0
119876.897,28.320,40.039,25.879,36.621,-39.062,0
119876.901,51.270,31.250,21.973,38.086,-11.230,0
119876.905,45.410,24.902,25.391,36.621,-20.508,0
119876.909,19.531,24.414,25.391,30.273,-54.688,0
119876.913,25.879,25.879,24.414,36.133,-52.734,0
119876.917,52.734,28.809,20.996,42.480,-7.812,0
119876.921,52.246,34.180,16.602,40.039,34.180,0
119876.924,29.297,40.527,20.996,37.598,1.465,0
119876.928,23.438,39.551,19.531,34.668,-33.691,0
119876.932,44.922,33.203,20.020,40.039,-12.207,0
119876.936,51.270,27.832,27.344,39.062,-42.480,0
119876.940,32.715,31.738,35.645,31.738,-94.727,0
119876.944,20.020,31.250,36.621,26.855,-117.188,0
119876.948,34.668,24.902,29.297,28.320,-56.641,0
119876.952,55.664,32.715,23.438,37.598,-7.324,0
