timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
150865.108,38.086,41.016,61.523,26.855,70.801,0
150865.112,26.855,33.203,66.406,17.090,-6.836,0
150865.116,26.367,34.668,51.270,18.555,-25.879,0
150865.120,37.109,39.551,51.270,27.344,54.199,0
150865.124,34.668,24.902,50.293,27.344,75.195,0
150865.128,27.832,25.391,40.039,30.273,23.926,0
150865.131,28.320,39.551,44.922,38.086,-13.672,0
150865.135,30.273,50.293,44.922,36.133,21.973,0
150865.139,26.855,50.781,40.039,27.344,40.039,0
150865.143,24.902,40.527,59.082,25.879,6.836,0
150865.147,15.625,30.762,57.617,18.066,-30.762,0
150865.151,20.020,28.320,32.715,14.648,9.277,0
150865.168,39.551,49.805,44.434,30.762,75.684,0
150865.172,27.344,45.410,54.199,20.020,63.965,0
150865.176,14.648,36.621,43.457,7.812,10.742,0
150865.180,24.902,43.457,36.621,17.578,7.812,0
150865.184,28.809,36.621,37.598,19.531,74.707,0
150865.188,24.414,30.762,44.922,13.184,68.848,0
150865.192,20.508,15.625,35.645,10.254,-10.254,0
150865.195,24.902,28.809,51.758,18.066,-5.859,0
150865.199,36.133,59.570,57.129,26.855,29.297,0
150865.203,36.133,58.594,37.598,20.508,13.184,0
150865.207,24.902,41.992,42.969,12.207,-41.992,0
150865.211,20.996,37.109,43.457,16.113,-71.777,0
150865.213,32.227,44.434,39.062,26.855,-0.977,0
150865.217,41.016,37.109,60.059,35.645,53.223,0
150865.221,34.180,30.273,52.246,34.180,19.531,0
150865.225,25.879,26.367,25.391,27.832,3.906,0
150865.229,34.668,31.738,48.828,40.527,24.902,0
150865.232,41.504,45.898,60.059,45.410,36.621,0
150865.236,36.133,45.410,40.039,38.574,12.695,0
150865.240,40.527,52.246,47.363,45.410,-14.160,2
150865.244,42.480,57.129,47.852,50.781,-11.230,0
150865.248,34.180,46.387,36.621,36.133,29.785,0
150865.252,40.527,27.832,40.039,34.180,70.801,0
150865.256,40.039,25.879,35.645,44.922,71.289,0
150865.258,31.738,24.902,32.227,44.434,34.180,0
150865.262,40.039,47.363,52.734,55.664,58.594,0
150865.266,36.133,59.082,64.941,50.293,119.629,0
150865.270,13.184,34.668,50.781,17.090,40.039,0
150865.274,10.742,29.785,50.293,10.742,-68.359,0
150865.278,27.832,38.086,55.176,28.320,-26.855,0
150865.282,41.016,33.203,55.176,35.156,68.848,0
150865.286,49.316,34.180,61.035,38.574,59.082,0
150865.290,46.875,46.387,49.316,40.039,-8.789,0
150865.293,43.945,49.316,14.160,35.645,6.348,0
150865.297,43.457,55.664,25.879,33.203,42.480,0
150865.301,35.156,47.852,64.941,32.227,26.367,0
150865.303,26.855,38.086,49.316,30.762,2.930,0
150865.307,28.320,36.621,32.227,30.273,13.672,0
150865.311,35.645,30.762,39.551,31.250,93.750,0
150865.315,42.480,38.086,40.039,37.109,91.309,0
150865.319,40.039,39.062,44.922,37.598,-6.348,0
150865.323,32.227,46.875,52.734,30.762,-29.785,0
150865.326,41.992,58.105,52.734,39.062,33.203,0
150865.330,53.711,58.105,40.527,49.316,63.965,0
150865.334,38.574,39.551,37.109,40.527,-3.906,0
150865.338,22.949,19.531,42.969,25.879,-53.711,0
150865.342,24.414,25.879,52.246,26.855,7.812,0
150865.346,24.902,48.828,61.035,24.902,81.543,0
150865.348,23.926,57.617,57.617,22.461,73.242,0
150865.352,17.090,42.969,38.574,26.855,35.645,0
150865.356,18.066,28.809,30.273,34.668,19.531,0
150865.360,28.809,44.434,26.855,39.062,58.105,0
