timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1486223912.937,103.027,40.527,46.387,81.055,41.992,0
1486223912.941,18.066,34.180,50.293,80.078,90.332,0
1486223912.944,-18.066,29.297,34.180,74.219,124.023,0
1486223912.948,51.270,28.809,26.367,53.711,13.672,0
1486223912.952,113.770,25.879,30.762,70.801,-40.527,0
1486223912.956,79.590,32.715,35.645,76.660,3.418,0
1486223912.960,5.859,35.645,40.039,65.918,68.848,0
1486223912.964,-27.344,25.879,33.691,67.383,123.047,0
1486223912.968,28.809,25.391,38.086,67.383,62.500,0
1486223912.972,100.098,31.250,38.574,73.730,-6.836,0
1486223912.976,94.238,37.109,32.227,69.336,11.719,0
1486223912.980,26.855,33.691,43.945,61.035,59.570,0
1486223912.984,-36.133,29.785,48.340,62.500,109.375,0
1486223912.987,13.672,31.738,30.762,63.477,62.012,0
1486223912.991,98.633,26.367,24.414,69.336,-20.996,0
1486223912.995,92.773,29.785,38.086,78.613,23.438,0
1486223912.999,29.785,32.715,44.434,74.707,56.641,0
1486223913.003,-26.855,29.297,48.828,70.312,92.773,0
1486223913.007,12.695,28.809,43.945,62.500,85.938,0
1486223913.011,96.680,32.227,37.109,67.383,11.230,0
1486223913.015,98.145,33.691,50.293,69.336,23.438,0
1486223913.019,34.180,26.855,41.016,60.059,26.367,0
1486223913.023,-37.109,22.461,30.273,61.035,75.195,0
1486223913.026,-9.277,21.973,32.227,58.105,80.566,0
1486223913.030,81.055,23.438,39.062,70.312,18.555,0
1486223913.034,101.074,28.320,49.805,76.660,57.129,0
1486223913.038,40.039,30.273,47.363,55.176,62.012,0
1486223913.042,-41.504,22.949,37.109,49.316,93.262,0
1486223913.046,-20.020,28.809,40.039,57.617,90.332,0
1486223913.050,72.754,28.809,39.062,54.199,-17.090,0
1486223913.054,99.121,26.855,40.039,69.336,-15.625,0
1486223913.058,44.922,33.203,36.621,65.430,17.578,0
1486223913.062,-24.902,23.438,22.949,50.781,86.426,0
1486223913.066,-29.297,14.160,27.344,44.922,110.352,0
1486223913.069,52.246,21.484,30.762,35.156,-3.906,0
1486223913.073,96.191,26.855,36.133,51.270,13.184,0
1486223913.077,51.270,27.832,44.922,62.988,42.969,0
1486223913.081,-16.602,33.691,47.363,70.801,6.348,0
1486223913.085,-15.137,34.668,49.805,68.848,33.203,0
1486223913.089,70.801,28.320,42.969,47.363,-20.020,0
1486223913.093,118.164,33.203,34.668,58.105,-36.621,0
1486223913.097,71.289,32.227,27.832,70.312,-8.301,0
1486223913.101,-13.672,25.879,27.832,62.988,47.852,0
1486223913.105,-34.180,28.809,33.691,61.523,91.797,0
1486223913.108,49.805,26.367,36.133,60.547,3.906,0
1486223913.112,111.816,21.484,39.062,67.871,-21.484,0
1486223913.116,86.914,20.508,38.574,66.406,44.434,0
1486223913.120,9.766,26.367,38.086,60.547,53.223,0
1486223913.124,-28.809,31.250,56.152,62.012,109.863,0
1486223913.128,37.598,28.809,49.316,55.664,60.547,0
1486223913.132,103.027,27.832,36.621,64.453,2.441,0
1486223913.136,89.844,27.832,38.574,76.660,49.805,0
1486223913.140,10.742,21.973,31.250,63.477,34.668,0
1486223913.144,-42.480,23.438,33.691,49.316,95.703,0
1486223913.148,27.344,28.809,34.180,47.852,72.754,0
1486223913.151,104.492,24.414,37.598,64.453,10.254,0
1486223913.155,96.191,22.461,32.227,62.500,4.395,0
1486223913.159,27.832,27.832,32.227,54.199,18.066,0
1486223913.163,-27.832,31.738,42.480,61.523,89.844,0
1486223913.167,18.066,26.367,42.969,53.223,49.805,0
1486223913.171,96.680,24.902,33.691,60.059,14.160,0
1486223913.175,100.098,30.762,32.715,70.801,47.363,0
