timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1486223710.080,27.832,27.832,36.133,60.059,38.574,0
1486223710.084,-41.016,29.785,34.180,61.523,71.777,0
1486223710.088,10.742,30.273,36.133,58.594,51.758,0
1486223710.092,99.121,30.762,38.086,62.012,12.207,0
1486223710.096,99.121,32.715,36.133,74.707,26.855,0
1486223710.099,32.227,30.273,36.621,73.730,19.531,0
1486223710.103,-33.203,24.902,34.180,56.152,48.340,0
1486223710.107,-4.395,32.227,26.855,50.781,22.461,0
1486223710.111,94.238,37.109,28.320,63.477,-42.969,0
1486223710.115,122.070,41.504,23.438,70.312,7.812,0
1486223710.119,54.199,29.297,31.738,66.895,35.156,0
1486223710.123,-27.832,19.043,41.016,62.988,48.828,0
1486223710.127,-22.949,26.367,32.227,62.012,47.363,0
1486223710.131,71.289,30.762,35.156,69.824,-52.246,0
1486223710.135,116.211,33.203,40.039,84.473,-20.020,0
1486223710.139,66.895,31.738,39.062,77.637,36.133,0
1486223710.142,-14.160,27.832,32.227,58.105,66.406,0
1486223710.146,-13.184,23.926,42.969,49.805,94.727,0
1486223710.150,83.496,27.344,41.504,53.223,13.184,0
1486223710.154,129.883,24.414,21.484,73.242,33.691,0
1486223710.158,87.402,19.531,29.297,75.684,68.848,0
1486223710.162,2.441,26.367,38.086,63.477,51.758,0
1486223710.166,-28.809,25.879,40.039,62.500,89.355,0
1486223710.170,53.223,31.738,41.016,63.477,27.344,0
1486223710.174,118.652,36.621,41.504,79.590,-9.766,0
1486223710.178,83.984,25.879,55.664,86.914,24.902,0
1486223710.181,-18.555,23.438,48.340,61.035,63.477,0
1486223710.185,-47.852,25.879,30.762,47.363,96.680,0
1486223710.189,39.062,20.996,29.297,46.387,25.391,0
1486223710.193,103.027,21.484,25.879,67.871,-0.977,0
1486223710.197,79.102,25.879,39.062,79.590,41.016,0
1486223710.201,-9.766,26.855,43.945,60.059,43.457,0
1486223710.205,-47.852,27.344,34.668,58.594,108.887,0
1486223710.209,33.691,32.227,41.016,65.430,48.340,0
1486223710.213,109.375,32.715,38.574,72.754,-23.438,0
1486223710.217,94.238,20.020,33.691,70.801,64.941,0
1486223710.221,17.090,24.414,38.574,62.012,84.473,0
1486223710.224,-43.945,34.668,42.480,62.500,96.680,0
1486223710.228,13.184,30.762,41.016,57.617,64.941,0
1486223710.232,99.609,25.391,36.621,57.617,14.648,0
1486223710.236,99.609,31.738,45.898,67.383,34.668,0
1486223710.240,29.785,39.551,48.828,66.406,84.473,0
1486223710.244,-45.410,28.809,25.879,49.316,134.766,0
1486223710.248,-6.836,27.832,24.902,41.992,71.777,0
1486223710.252,86.914,28.809,31.738,54.688,-12.207,0
1486223710.256,98.633,25.879,33.691,67.871,31.738,0
1486223710.260,33.691,29.297,35.156,60.547,44.434,0
1486223710.263,-35.645,27.832,32.227,58.105,82.031,0
1486223710.267,-12.207,24.414,32.227,49.805,85.449,0
1486223710.271,81.543,26.855,35.156,53.711,20.996,0
1486223710.275,112.305,25.879,34.180,78.125,39.551,1
1486223710.279,52.246,32.715,44.922,70.801,36.621,0
1486223710.283,-30.273,30.273,47.363,65.918,48.828,0
1486223710.287,-14.648,17.578,31.738,61.035,82.031,0
1486223710.291,74.707,23.438,25.391,51.270,14.160,0
1486223710.295,117.676,31.738,41.504,71.289,1.953,0
1486223710.299,72.266,28.320,39.062,61.523,35.645,0
1486223710.303,-25.391,19.043,31.738,58.105,83.496,0
1486223710.306,-28.809,16.602,43.457,61.523,108.887,0
1486223710.310,68.359,31.250,40.527,53.223,19.531,0
1486223710.314,103.516,33.203,37.598,63.965,25.879,0
1486223710.318,64.941,29.297,38.574,59.082,46.387,0
1486223710.322,-17.090,28.809,36.133,53.711,80.566,0
1486223710.326,-28.809,33.691,44.434,60.547,119.629,0
1486223710.330,69.824,29.297,35.156,58.105,29.297,0
1486223710.334,121.094,24.902,27.832,65.918,14.160,0
1486223710.338,91.797,36.621,40.527,79.102,39.551,0
1486223710.342,15.137,35.645,43.457,76.172,34.180,0
1486223710.346,-22.461,25.391,40.527,68.359,64.941,0
1486223710.349,59.082,26.367,35.645,68.848,-10.254,0
1486223710.353,128.418,33.691,29.297,72.266,-55.176,0
1486223710.357,95.703,32.715,28.809,67.383,-7.812,0
1486223710.361,9.277,35.645,32.227,71.777,14.648,0
1486223710.365,-26.367,41.992,35.645,74.707,84.961,0
1486223710.369,39.062,34.668,35.645,53.223,37.109,0
1486223710.373,101.074,29.785,33.691,49.805,-2.441,0
1486223710.377,88.379,33.203,34.668,55.664,47.852,0
1486223710.381,6.348,36.133,40.039,49.316,19.043,0
1486223710.385,-47.852,33.203,38.574,38.086,67.383,0
1486223710.388,12.695,30.273,29.785,31.738,36.621,0
1486223710.392,87.402,36.133,31.250,42.480,-36.621,0
1486223710.396,90.820,34.180,34.668,56.641,3.906,0
1486223710.400,22.461,23.926,29.785,58.594,-7.324,0
1486223710.404,-45.410,20.996,25.391,58.105,43.945,0
1486223710.408,14.160,23.926,36.133,62.988,30.762,0
1486223710.412,110.840,28.320,44.922,83.984,-21.973,0
1486223710.416,114.258,35.156,36.621,93.750,34.180,0
1486223710.420,37.109,34.180,39.062,81.055,35.645,0
1486223710.424,-39.062,28.809,49.316,76.172,71.777,0
1486223710.428,5.859,29.785,58.105,72.266,73.242,0
1486223710.431,97.656,21.973,50.781,70.312,-28.809,0
1486223710.435,117.188,25.879,41.504,82.031,-30.762,0
1486223710.439,44.434,22.461,35.645,72.754,14.648,0
1486223710.443,-36.621,17.090,31.738,64.941,78.613,0
1486223710.447,-17.578,25.391,24.414,52.246,82.031,0
1486223710.451,83.984,31.738,32.715,58.594,50.293,0
1486223710.455,119.141,23.926,41.992,74.707,60.547,0
1486223710.459,63.477,30.273,44.434,75.684,50.293,0
1486223710.463,-12.695,38.574,46.875,70.312,80.566,0
1486223710.467,-22.949,29.297,35.156,49.805,88.867,0
1486223710.471,73.242,26.367,41.504,63.477,17.578,0
1486223710.474,110.840,21.973,37.109,77.637,22.949,0
1486223710.478,56.641,20.996,28.809,68.359,55.176,0
1486223710.482,-17.090,24.414,40.527,62.012,95.703,0
1486223710.486,-35.156,28.809,37.598,55.664,81.543,0
1486223710.490,54.688,29.785,27.344,59.082,-10.254,0
1486223710.494,108.398,25.879,30.762,66.895,22.461,0
1486223710.498,74.707,25.391,45.898,68.848,61.523,0
1486223710.502,-1.465,33.203,38.086,63.965,63.965,0
1486223710.506,-40.527,32.715,36.621,57.617,89.355,0
1486223710.510,46.387,24.414,42.480,55.176,18.066,0
1486223710.513,125.977,28.809,36.133,81.055,-36.133,0
1486223710.517,88.867,30.273,30.273,85.449,9.766,0
1486223710.521,3.418,26.367,28.809,65.918,62.012,0
1486223710.525,-24.902,30.273,35.645,63.477,123.535,0
1486223710.529,42.969,32.715,34.180,56.152,50.781,0
1486223710.533,112.305,29.785,31.738,62.012,23.926,0
1486223710.537,90.332,33.691,37.109,71.289,38.574,0
1486223710.541,8.301,32.715,52.734,69.336,30.273,0
1486223710.545,-41.016,25.879,45.898,64.453,79.102,0
1486223710.549,24.414,28.320,29.785,61.523,67.871,0
1486223710.553,111.328,30.273,37.109,74.219,23.438,0
1486223710.556,96.191,29.785,31.738,72.754,20.508,0
1486223710.560,27.832,36.133,27.832,63.965,54.688,0
1486223710.564,-28.809,29.297,29.785,52.246,130.371,0
1486223710.568,9.766,24.414,34.180,46.387,96.191,0
1486223710.572,99.609,27.832,37.598,59.082,32.227,0
1486223710.576,96.191,31.250,41.504,72.754,56.641,0
1486223710.580,22.949,34.668,55.664,70.312,50.293,0
1486223710.584,-46.387,31.250,59.082,57.129,109.375,0
1486223710.588,-9.277,23.926,37.598,45.898,99.121,0
1486223710.592,94.238,33.203,30.762,52.246,-0.488,0
1486223710.596,110.840,36.133,40.039,67.383,27.832,0
1486223710.599,39.062,26.855,43.457,62.012,48.828,0
1486223710.603,-33.203,29.297,40.039,56.152,79.102,0
1486223710.607,-13.672,29.785,35.645,54.688,121.094,0
1486223710.611,75.195,27.344,27.344,56.641,42.480,0
1486223710.615,106.445,31.738,27.832,65.430,31.250,0
1486223710.619,45.898,35.645,41.992,62.012,66.895,0
1486223710.623,-26.855,37.598,53.223,63.965,73.242,0
1486223710.627,-18.555,29.785,41.504,57.617,79.590,0
1486223710.631,66.406,19.531,35.156,55.664,-6.348,0
1486223710.635,112.793,25.879,39.551,73.730,-8.301,0
1486223710.638,68.848,37.109,45.898,73.730,13.184,0
1486223710.642,-10.742,31.738,48.828,70.801,30.762,0
1486223710.646,-26.367,24.902,38.574,60.059,56.152,0
1486223710.650,63.965,34.180,30.762,56.152,9.277,0
1486223710.654,125.000,37.109,41.992,79.102,27.832,0
1486223710.658,85.938,29.785,33.203,69.824,50.293,0
1486223710.662,9.766,34.668,45.410,68.359,45.410,0
1486223710.666,-19.043,34.668,60.059,72.266,44.922,0
1486223710.670,57.129,24.902,31.250,49.316,-14.160,0
1486223710.674,117.188,26.367,26.367,62.500,-18.066,0
1486223710.678,83.008,24.902,35.645,69.336,62.500,0
1486223710.681,-7.324,30.273,39.551,54.688,81.543,0
1486223710.685,-50.781,31.250,37.598,56.152,81.055,0
1486223710.689,30.273,27.344,33.691,51.758,35.156,0
1486223710.693,105.957,33.203,35.645,55.664,47.852,0
1486223710.697,87.891,39.062,39.062,70.312,99.121,0
1486223710.701,3.418,31.738,34.668,63.477,97.168,0
1486223710.705,-36.621,21.973,39.551,58.105,102.051,0
1486223710.709,31.250,25.391,43.945,56.641,88.379,0
