timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1486824881.627,-7.324,28.809,29.297,68.848,72.754,0
1486824881.631,5.859,28.809,35.156,48.828,86.426,0
1486824881.635,87.891,29.785,42.969,43.457,-31.250,0
1486824881.639,108.887,28.320,41.992,81.543,-20.996,0
1486824881.643,57.617,28.809,35.645,82.031,17.578,0
1486824881.647,4.883,32.227,38.574,74.707,96.191,0
1486824881.651,11.719,32.227,42.480,60.059,145.508,0
1486824881.655,70.312,27.832,37.598,30.762,-23.926,0
1486824881.658,99.121,26.367,37.598,61.523,-63.965,0
1486824881.662,65.918,28.320,45.898,75.684,21.973,0
1486824881.666,-1.465,28.320,35.645,62.500,65.430,0
1486824881.670,-9.766,37.109,38.086,50.293,74.707,0
1486824881.674,55.664,34.668,40.039,31.738,-22.461,0
1486824881.678,93.750,24.414,31.250,67.383,-24.414,0
1486824881.682,62.012,27.344,33.691,76.660,-20.020,0
1486824881.686,-12.207,27.832,34.668,62.988,18.066,0
1486824881.690,-26.367,26.855,32.227,57.617,126.465,0
1486824881.694,45.898,26.855,36.621,34.180,35.645,0
1486824881.698,100.586,25.879,40.527,67.383,-30.273,0
1486824881.701,87.402,25.391,39.551,94.238,24.414,0
1486824881.705,14.648,26.367,49.316,86.914,58.594,0
1486824881.709,-12.207,28.320,56.641,80.078,114.746,0
1486824881.713,55.176,28.809,43.457,46.387,24.414,0
1486824881.717,93.750,27.344,35.156,61.035,-50.781,0
1486824881.721,77.148,26.367,41.016,87.402,17.090,0
1486824881.725,16.602,25.391,42.969,76.172,39.551,0
1486824881.729,-24.902,25.391,39.062,64.941,98.633,0
1486824881.733,27.832,24.902,36.621,29.297,43.457,0
1486824881.737,81.055,21.484,37.109,47.852,-31.738,0
1486824881.740,71.289,22.949,37.598,83.008,40.527,0
1486824881.744,21.973,27.344,39.551,76.172,88.867,0
1486824881.748,-21.973,28.809,45.410,66.406,131.348,0
1486824881.752,16.602,25.391,47.852,41.504,51.758,0
1486824881.756,88.867,23.438,37.109,50.293,-55.664,0
1486824881.760,94.238,27.344,31.250,82.031,2.441,0
1486824881.764,35.156,33.691,46.387,83.008,49.316,0
1486824881.768,-15.137,31.738,51.270,80.078,111.328,0
1486824881.772,15.137,25.391,38.086,54.688,87.891,0
1486824881.776,84.961,25.879,33.203,53.223,-16.602,0
1486824881.780,92.773,25.879,35.645,85.938,35.156,0
1486824881.783,41.016,25.879,42.969,72.266,64.941,0
1486824881.787,-17.578,29.785,41.504,66.406,114.746,0
1486824881.791,2.930,28.809,38.086,42.969,110.840,0
1486824881.795,73.730,28.320,38.086,33.203,-26.367,0
1486824881.799,87.402,30.762,32.715,68.359,-28.320,0
1486824881.803,44.922,31.738,43.945,65.918,47.852,0
1486824881.807,-15.625,31.738,53.223,61.035,116.211,0
1486824881.811,-7.324,31.250,42.480,47.363,128.906,0
1486824881.815,62.500,28.320,35.156,34.180,29.297,0
1486824881.819,86.914,28.320,39.062,69.336,7.324,0
1486824881.823,52.734,28.809,42.969,81.055,26.367,0
1486824881.826,-10.742,31.250,36.621,71.777,92.285,0
