timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
213855.824,11.230,33.203,22.461,7.812,3.906,0
213855.828,4.883,34.180,20.996,4.395,4.883,0
213855.832,10.742,37.598,36.621,15.625,11.719,0
213855.834,39.062,38.574,39.551,35.645,16.113,0
213855.838,20.020,32.715,23.438,23.926,8.301,0
213855.841,-3.418,29.297,16.113,3.906,19.531,0
213855.845,21.973,33.691,32.227,18.066,37.598,0
213855.849,34.180,36.133,41.504,33.691,25.391,0
213855.853,27.832,38.574,36.133,28.809,12.207,0
213855.857,9.277,41.504,33.691,15.625,7.812,0
213855.861,8.301,38.574,26.367,4.395,10.254,0
213855.865,29.785,37.109,26.367,15.137,18.555,0
213855.869,34.668,34.668,30.762,20.508,24.414,0
213855.873,7.812,34.668,21.973,7.324,20.508,0
213855.877,7.324,33.691,9.766,5.859,26.855,0
213855.878,35.645,31.250,18.555,20.020,43.457,0
213855.882,28.809,35.645,21.484,32.227,36.621,0
213855.886,11.230,38.086,24.414,22.949,16.602,0
213855.890,14.648,33.203,42.969,12.695,17.090,0
213855.894,33.203,29.297,47.363,23.438,20.020,0
213855.898,46.875,33.203,41.992,38.574,11.719,0
213855.902,21.484,39.551,40.039,31.250,16.113,0
213855.906,3.418,36.133,35.645,12.695,31.738,0
213855.910,21.484,30.273,29.297,18.555,40.527,0
213855.914,48.828,35.156,28.809,41.016,43.457,0
213855.917,34.668,37.109,30.273,40.039,33.203,0
213855.921,10.254,34.668,33.203,20.508,35.156,0
213855.923,31.738,38.086,38.574,20.508,48.828,0
213855.927,50.781,38.574,31.738,33.691,45.898,0
213855.931,44.434,36.621,23.438,37.109,40.527,0
213855.935,27.344,38.086,31.250,23.926,52.246,0
213855.939,19.043,37.109,40.039,13.184,47.852,0
213855.943,36.621,37.598,44.434,26.367,25.391,0
213855.947,44.922,39.062,38.574,34.668,6.836,0
213855.951,35.645,34.668,37.109,18.555,3.418,0
213855.955,12.695,32.227,44.434,8.301,10.742,0
213855.959,11.719,35.645,41.016,24.414,32.227,0
213855.962,41.992,36.133,37.109,39.062,45.410,0
213855.966,24.414,35.645,38.086,32.227,39.062,0
213855.971,1.953,36.133,34.668,24.902,47.363,0
213855.975,19.531,39.551,35.645,28.320,66.406,0
213855.979,41.992,42.480,33.203,43.457,70.312,0
213855.983,40.039,36.133,25.391,38.086,58.594,0
213855.987,15.137,27.832,23.438,13.184,45.410,0
213855.991,6.836,28.320,27.832,5.859,38.574,0
213855.995,22.461,32.715,34.180,18.066,28.809,0
213855.998,35.156,35.645,39.062,22.461,8.789,0
213856.002,25.391,36.621,34.668,9.277,8.301,0
213856.006,14.648,38.086,30.762,10.254,43.945,0
213856.010,31.738,38.086,27.832,23.438,50.781,0
213856.014,37.109,36.621,20.996,28.809,20.020,0
213856.014,32.227,41.504,23.926,20.508,12.695,0
213856.018,29.785,42.969,28.320,16.113,32.227,0
213856.022,36.133,39.551,31.250,26.367,37.109,0
213856.026,42.480,39.062,40.039,35.645,19.531,0
213856.030,22.949,36.621,48.828,27.832,8.301,0
213856.034,15.625,32.227,52.246,13.184,24.414,0
213856.038,14.648,31.250,43.945,12.695,46.387,0
213856.042,28.320,30.273,37.598,24.902,32.715,0
213856.046,25.391,31.250,32.715,27.832,14.648,0
213856.050,0.488,33.203,23.438,15.137,18.555,0
213856.053,14.648,33.203,20.996,15.625,26.855,0
213856.057,32.227,37.598,33.203,33.203,36.621,0
213856.059,26.367,40.039,40.527,37.598,30.762,0
213856.063,18.555,39.062,32.715,26.855,25.879,0
213856.066,15.137,37.598,42.480,18.066,38.574,0
213856.070,35.645,36.133,29.297,27.832,42.969,0
213856.074,46.875,39.062,5.859,43.457,36.621,0
213856.078,41.016,41.504,31.250,32.715,31.738,0
213856.082,37.109,43.457,60.059,11.230,32.715,0
213856.086,22.949,40.527,55.664,11.230,24.902,0
213856.090,30.762,37.598,47.363,23.926,10.254,0
213856.094,23.926,38.574,40.527,21.484,4.395,0
213856.098,12.695,39.062,32.227,10.742,4.395,0
213856.102,9.766,37.109,36.133,10.742,14.648,0
