timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1485534104.914,37.598,28.320,35.156,67.383,-212.402,0
1485534104.918,0.977,31.738,27.832,87.402,196.289,0
1485534104.922,22.949,33.203,32.227,57.129,491.211,0
1485534104.926,42.480,34.180,38.086,27.832,15.137,0
1485534104.930,40.527,28.320,47.363,56.152,-266.602,0
1485534104.934,35.156,26.367,49.316,57.129,65.918,0
1485534104.938,18.066,33.691,49.805,78.613,376.953,0
1485534104.942,15.137,36.621,45.410,74.707,783.691,0
1485534104.946,53.223,35.156,40.039,26.367,354.980,0
1485534104.950,75.684,44.922,50.293,44.922,-283.691,0
1485534104.953,35.645,34.668,45.898,68.359,-244.629,0
1485534104.957,15.137,26.367,35.156,79.590,-19.043,0
1485534104.961,42.969,35.156,37.598,90.820,352.051,0
1485534104.965,35.645,31.738,34.180,49.316,-84.473,0
1485534104.969,37.109,34.668,33.691,42.480,-445.312,0
1485534104.973,53.223,36.133,27.832,62.988,-297.363,0
1485534104.977,27.832,34.180,23.926,91.797,-67.383,0
1485534104.981,17.090,39.062,31.738,90.820,693.848,0
1485534104.985,31.738,39.551,29.785,24.902,554.688,0
1485534104.989,40.527,32.715,33.691,35.645,-291.992,0
1485534104.993,48.828,32.227,43.945,57.617,-308.105,0
1485534104.996,41.992,32.227,50.781,76.660,-74.707,0
1485534105.000,17.090,34.668,47.852,97.656,427.734,0
1485534105.004,14.648,35.156,41.504,55.664,156.738,0
1485534105.008,65.918,27.832,32.227,39.062,-414.551,0
1485534105.012,73.730,41.504,40.039,60.547,-339.355,0
1485534105.016,30.762,48.340,51.758,73.242,-146.484,0
1485534105.020,-10.254,32.227,38.574,55.664,387.207,0
1485534105.024,9.766,31.250,38.086,20.996,225.098,0
1485534105.028,42.480,31.250,26.855,32.227,-113.281,0
1485534105.032,42.969,34.668,17.578,59.570,99.121,0
1485534105.035,41.992,33.691,36.133,76.660,-74.707,0
1485534105.039,5.859,36.621,40.527,72.754,439.941,0
1485534105.043,1.953,39.062,38.086,26.367,765.625,0
1485534105.047,45.410,31.738,37.598,14.160,-161.133,0
1485534105.051,61.035,29.785,36.621,44.922,-406.250,0
1485534105.055,41.016,32.715,41.016,72.754,-225.586,0
1485534105.059,11.719,35.645,41.016,85.938,328.613,0
1485534105.063,22.949,35.645,41.016,51.758,378.418,0
1485534105.067,39.062,31.250,38.086,35.645,-384.277,0
1485534105.071,45.410,30.273,38.574,66.895,-405.762,0
1485534105.075,40.039,30.762,39.551,90.820,35.156,0
1485534105.078,22.461,44.434,48.340,91.309,551.758,0
1485534105.082,19.043,38.574,45.410,61.523,832.031,0
1485534105.086,34.180,23.438,28.320,24.902,80.566,0
1485534105.090,57.617,28.809,15.137,55.664,-413.574,0
1485534105.094,55.664,31.738,29.785,91.797,-256.348,0
1485534105.098,22.949,32.715,46.875,95.215,153.809,0
1485534105.102,9.766,34.180,40.039,59.570,541.992,0
1485534105.106,31.250,26.367,35.156,29.297,-91.309,0
1485534105.110,48.340,24.902,39.062,35.156,-431.152,0
1485534105.114,38.574,33.203,46.875,64.941,-267.090,0
1485534105.118,27.832,35.645,50.781,93.262,47.363,0
1485534105.121,16.113,38.574,42.969,83.984,491.699,0
1485534105.125,25.391,36.133,34.668,44.434,97.656,0
1485534105.129,47.852,29.785,41.016,44.434,-354.980,0
1485534105.133,32.715,34.668,50.781,62.012,-226.562,0
1485534105.137,33.203,48.828,62.012,79.590,-9.277,0
1485534105.141,12.207,37.598,44.434,67.871,661.621,0
1485534105.145,11.230,25.879,30.762,20.508,402.344,0
1485534105.149,54.199,24.414,29.785,39.062,-391.113,0
1485534105.153,57.617,26.367,35.645,70.312,-309.570,0
1485534105.157,26.855,33.691,46.875,75.195,52.734,0
1485534105.160,16.602,35.156,43.457,68.848,527.832,0
1485534105.164,12.207,27.344,39.551,42.969,137.207,0
1485534105.168,25.391,28.320,41.992,41.504,-58.105,0
1485534105.172,46.875,37.109,46.875,67.383,10.742,0
1485534105.176,36.133,34.668,46.387,93.750,-127.441,0
1485534105.180,0.977,28.809,43.457,77.637,524.902,0
1485534105.184,8.301,23.926,45.410,36.621,378.906,0
1485534105.188,59.082,25.879,42.480,40.527,-429.688,0
1485534105.192,67.871,42.969,52.734,68.359,-344.727,0
1485534105.196,23.926,31.738,41.504,81.543,-144.531,0
1485534105.200,-19.531,25.391,20.020,73.730,522.461,0
1485534105.203,7.324,29.297,31.250,33.691,559.082,0
1485534105.207,46.875,24.414,37.109,17.578,-336.426,0
1485534105.211,36.621,30.762,32.227,60.059,-342.773,0
1485534105.215,35.156,32.715,37.598,81.543,122.070,0
1485534105.219,11.230,33.203,41.992,80.078,686.035,0
1485534105.223,25.879,35.156,38.086,50.293,762.207,0
1485534105.227,65.430,32.715,42.969,19.531,-96.680,0
1485534105.231,58.105,33.691,38.574,53.223,-416.504,0
1485534105.235,36.133,33.691,39.062,81.543,-200.684,0
