timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1485534552.433,42.480,25.879,38.574,77.637,304.199,0
1485534552.437,60.059,25.879,42.969,51.758,-240.234,0
1485534552.441,62.012,29.297,43.945,77.148,-397.461,0
1485534552.445,37.598,34.180,49.805,92.285,-150.879,0
1485534552.449,40.527,36.133,44.434,103.027,354.980,0
1485534552.453,53.711,35.156,41.992,92.285,381.348,0
1485534552.457,69.336,30.273,41.504,78.125,156.738,0
1485534552.461,78.613,25.879,40.039,84.961,-182.129,0
1485534552.465,58.105,28.320,40.527,86.914,-344.238,0
1485534552.469,43.457,33.203,43.945,104.492,540.039,0
1485534552.473,52.734,31.250,45.898,99.121,639.648,0
1485534552.476,88.379,30.273,40.039,79.102,-236.328,0
1485534552.480,105.957,30.273,40.527,71.777,-326.660,0
1485534552.484,79.590,37.598,43.945,79.590,-264.160,0
1485534552.488,66.895,40.039,42.480,108.398,229.004,0
1485534552.492,71.289,34.668,42.480,94.238,444.336,0
1485534552.496,81.055,37.598,38.086,66.895,-142.090,0
1485534552.500,76.660,37.598,28.809,79.102,-47.363,0
1485534552.504,60.059,36.133,38.574,90.332,6.348,0
1485534552.508,45.898,37.109,49.316,106.934,383.301,0
1485534552.512,40.527,29.297,44.922,93.262,766.113,0
1485534552.516,62.500,29.785,44.434,68.359,38.574,0
1485534552.519,91.309,39.551,50.293,90.820,-339.355,0
1485534552.523,85.938,29.297,40.527,90.332,-354.492,0
1485534552.527,54.688,24.414,33.691,99.609,209.473,0
1485534552.531,37.109,25.879,38.574,104.492,393.555,0
1485534552.535,46.875,20.508,32.715,69.824,-173.828,0
1485534552.539,71.289,20.996,29.297,69.336,-353.516,0
1485534552.543,77.637,25.391,34.668,83.984,-359.863,0
1485534552.547,48.828,34.180,35.156,103.027,372.070,0
1485534552.551,36.133,35.645,37.109,101.074,888.184,0
1485534552.555,71.777,29.297,39.551,63.477,89.844,0
1485534552.558,85.449,31.250,33.691,52.734,-334.961,0
1485534552.562,73.242,30.762,33.691,71.289,-358.398,0
1485534552.566,53.711,31.250,32.227,84.961,100.586,0
1485534552.570,46.387,32.715,24.902,92.773,447.266,0
1485534552.574,58.105,26.855,32.227,73.730,52.734,0
1485534552.578,68.848,26.367,40.039,52.734,-138.672,0
1485534552.582,67.383,27.344,40.039,59.082,-324.219,0
1485534552.586,53.711,26.855,41.992,88.379,33.203,0
1485534552.590,39.551,31.738,43.457,98.633,478.516,0
1485534552.594,42.480,33.691,38.086,61.035,363.770,0
1485534552.598,60.059,30.762,34.668,54.199,74.219,0
1485534552.601,62.012,30.762,36.133,72.754,-272.949,0
1485534552.605,44.434,30.762,41.016,79.102,-116.211,0
1485534552.609,32.715,28.809,35.645,87.891,721.680,0
1485534552.613,56.152,43.457,42.969,71.777,494.629,0
1485534552.617,68.848,46.387,55.664,60.059,-273.926,0
1485534552.621,48.340,21.973,34.180,50.293,-290.527,0
1485534552.625,28.809,20.020,25.391,57.129,-92.285,0
1485534552.629,24.902,22.949,36.133,87.402,311.523,0
1485534552.633,35.156,21.484,40.527,73.242,150.391,0
1485534552.637,47.363,23.438,36.133,44.434,-253.418,0
1485534552.640,55.176,25.391,27.344,52.734,0.000,0
1485534552.644,44.434,27.832,24.902,56.152,127.441,0
1485534552.648,20.020,27.832,39.062,88.379,560.059,0
1485534552.652,23.926,26.855,45.898,76.172,665.527,0
1485534552.656,48.340,27.832,46.875,25.391,-190.430,0
1485534552.660,48.828,27.832,37.598,33.203,-355.957,0
1485534552.664,33.691,27.344,31.250,44.922,-196.289,0
1485534552.668,22.461,32.715,37.109,63.477,228.516,0
1485534552.672,28.809,37.598,39.062,59.570,248.047,0
1485534552.676,39.062,29.785,37.109,39.062,-188.965,0
1485534552.680,46.387,24.414,34.668,42.969,-305.664,0
1485534552.683,33.691,26.855,32.227,47.852,-239.746,0
1485534552.687,18.066,30.762,33.203,72.754,515.137,0
1485534552.691,23.438,30.273,36.133,69.336,709.961,0
1485534552.695,36.133,26.855,38.086,35.645,-112.305,0
1485534552.699,55.176,26.855,35.156,40.527,-284.668,0
1485534552.703,49.805,26.367,31.250,49.805,-245.117,0
1485534552.707,21.484,28.320,32.227,67.383,312.988,0
1485534552.711,22.949,31.738,36.621,75.195,587.402,0
1485534552.715,43.945,28.809,35.645,38.574,-62.012,0
1485534552.719,60.059,25.879,32.227,38.574,-290.527,0
1485534552.723,53.223,27.832,22.949,61.035,-202.637,0
1485534552.726,33.691,28.809,26.855,68.359,309.570,0
1485534552.730,21.973,27.344,41.016,75.195,425.781,0
1485534552.734,24.902,23.438,38.086,51.270,247.070,0
1485534552.738,42.480,21.484,37.109,33.203,82.031,0
1485534552.742,46.875,22.949,37.109,40.527,-291.992,0
1485534552.746,14.648,25.391,35.156,61.523,0.488,0
1485534552.750,-0.977,23.438,33.691,85.938,770.020,0
1485534552.754,28.320,22.949,40.039,49.805,302.734,1
1485534552.758,41.992,22.949,40.527,33.691,-322.266,0
1485534552.762,53.223,26.855,34.668,56.152,-286.133,0
1485534552.765,48.340,34.180,39.551,77.148,-55.664,0
1485534552.769,33.203,33.691,46.875,96.191,335.938,0
1485534552.773,39.551,29.785,43.945,64.941,76.660,0
1485534552.777,52.734,28.320,35.645,52.246,-259.277,0
1485534552.781,42.969,27.344,35.156,62.012,0.977,0
1485534552.785,36.621,26.367,38.086,70.312,193.848,0
1485534552.789,30.762,30.762,38.574,90.820,690.918,0
1485534552.793,32.715,30.762,44.922,70.312,563.477,0
1485534552.797,45.898,20.996,41.504,40.527,-258.301,0
1485534552.801,63.965,30.273,55.176,71.289,-291.504,0
1485534552.805,57.129,29.785,44.434,83.496,-193.848,0
1485534552.808,14.648,15.625,25.879,72.754,129.883,0
1485534552.812,19.043,20.996,42.969,59.082,155.762,0
1485534552.816,47.852,23.926,40.039,40.039,-235.840,0
1485534552.820,53.711,25.879,37.598,53.223,-291.992,0
1485534552.824,43.457,29.785,38.086,66.406,-195.801,0
1485534552.828,30.762,33.203,41.504,87.891,288.574,0
1485534552.832,34.668,31.738,46.387,80.078,535.156,0
1485534552.836,50.781,29.785,42.480,46.387,-62.012,0
1485534552.840,68.848,29.297,36.621,54.688,-299.805,0
1485534552.844,54.199,30.273,37.109,66.895,-131.836,0
1485534552.848,30.762,32.227,37.109,88.379,488.770,0
1485534552.851,35.156,30.273,44.434,90.332,686.523,0
1485534552.855,54.199,28.809,44.922,60.547,-107.422,0
1485534552.859,61.035,26.855,34.180,56.152,-279.297,0
1485534552.863,46.875,26.367,33.691,55.664,-239.258,0
1485534552.867,31.250,27.832,41.504,76.172,104.004,0
1485534552.871,29.297,30.273,41.504,84.473,356.934,0
1485534552.875,40.039,27.832,36.133,59.570,235.352,0
1485534552.879,47.363,24.902,32.227,53.711,111.816,0
1485534552.883,53.223,25.391,23.438,59.082,-299.316,0
1485534552.887,32.715,26.367,32.227,79.102,123.047,0
1485534552.890,16.602,25.879,48.340,90.820,840.332,0
1485534552.894,32.715,23.438,48.828,47.363,173.828,0
1485534552.898,40.039,19.043,40.039,43.945,-301.270,0
1485534552.902,38.086,18.555,36.133,54.199,-115.234,0
1485534552.906,20.996,25.391,39.551,63.965,149.902,0
1485534552.910,16.113,26.855,44.922,85.449,350.098,0
1485534552.914,29.297,26.855,40.039,55.176,0.000,0
1485534552.918,35.645,27.344,31.738,49.316,-211.914,0
1485534552.922,35.156,25.879,32.227,73.242,53.223,0
1485534552.926,30.273,27.344,35.156,62.500,264.160,0
1485534552.930,31.738,37.598,41.016,78.613,716.797,0
1485534552.933,52.246,48.828,52.246,81.055,420.410,0
1485534552.937,62.012,31.250,35.645,41.992,-96.680,0
1485534552.941,64.453,20.508,23.438,43.457,-213.867,0
1485534552.945,44.434,24.414,28.809,69.336,-218.750,0
1485534552.949,20.020,26.855,34.180,93.262,220.215,0
1485534552.953,35.645,31.250,38.086,78.125,116.699,0
1485534552.957,60.059,29.297,26.367,46.875,-248.535,0
1485534552.961,56.152,29.297,26.367,39.551,-98.633,0
1485534552.965,38.574,29.785,38.574,56.152,5.859,0
1485534552.969,27.344,29.297,40.527,77.637,289.551,0
1485534552.972,39.551,32.227,42.969,59.082,469.238,0
1485534552.976,50.293,32.715,37.598,37.109,-83.008,0
1485534552.980,44.434,30.273,33.691,52.734,-316.895,0
1485534552.984,41.016,29.785,40.527,61.523,-416.016,0
1485534552.988,22.461,30.762,39.551,78.125,310.059,0
1485534552.992,12.207,27.832,39.551,71.777,619.629,0
1485534552.996,27.344,25.391,38.086,26.855,-158.203,0
1485534553.000,43.945,22.461,31.738,41.992,-271.484,0
1485534553.004,48.340,22.949,35.645,59.082,-323.730,0
1485534553.008,25.391,28.809,38.086,73.730,23.438,0
1485534553.012,20.020,28.320,38.086,79.590,254.395,0
1485534553.015,37.598,21.484,32.715,38.086,198.242,0
1485534553.019,51.758,24.902,32.227,31.738,309.570,0
1485534553.023,58.594,28.809,36.133,47.852,-12.695,0
1485534553.027,38.086,33.691,37.598,64.941,158.203,0
1485534553.031,20.508,34.668,42.480,67.871,401.855,0
1485534553.035,28.809,26.367,40.527,43.945,-82.520,0
1485534553.039,47.363,25.391,29.297,45.410,-176.758,0
1485534553.043,55.664,41.992,37.598,69.336,-412.109,0
1485534553.047,24.902,38.574,39.551,88.867,74.707,0
1485534553.051,-4.883,21.973,30.762,80.078,737.793,0
1485534553.055,20.996,22.461,35.156,42.480,83.984,0
1485534553.058,48.340,23.438,33.691,37.109,-213.379,0
1485534553.062,48.340,24.414,33.691,62.500,-24.902,0
1485534553.066,27.832,26.855,38.574,81.055,285.645,0
1485534553.070,20.996,29.785,39.551,89.355,764.648,0
1485534553.074,35.645,24.902,38.086,60.059,225.586,0
1485534553.078,53.711,23.926,31.738,34.668,-153.809,0
1485534553.082,50.781,24.414,32.715,49.805,-115.723,0
1485534553.086,32.227,25.879,36.133,67.871,-122.070,0
1485534553.090,28.809,28.809,34.668,78.613,265.625,0
1485534553.094,36.621,24.902,35.645,63.965,37.598,0
1485534553.097,47.852,21.484,30.762,45.410,-198.242,0
1485534553.101,51.758,20.020,29.785,47.852,-305.176,0
1485534553.105,42.480,24.414,34.668,71.289,-233.887,0
1485534553.109,33.691,29.785,36.621,93.750,351.074,0
1485534553.113,30.762,30.762,30.762,62.988,549.805,0
1485534553.117,38.086,30.273,15.137,33.203,86.914,0
1485534553.121,52.246,29.297,22.461,58.105,-304.688,0
1485534553.125,44.434,29.785,38.574,67.383,-323.730,0
1485534553.129,13.672,29.785,37.598,70.312,390.625,0
1485534553.133,9.277,24.902,39.551,70.801,406.738,0
1485534553.137,31.250,20.020,38.574,50.781,-64.453,0
1485534553.140,35.645,22.461,37.598,53.711,-20.020,0
1485534553.144,8.789,21.973,39.062,62.988,-249.512,0
1485534553.148,17.578,20.508,41.016,85.449,225.098,0
1485534553.152,37.598,27.344,39.551,77.637,345.215,0
1485534553.156,52.734,31.250,35.156,50.293,215.332,0
1485534553.160,69.824,28.809,35.645,57.129,102.539,0
1485534553.164,63.477,29.785,39.551,68.848,-436.035,0
1485534553.168,37.109,26.855,41.016,96.191,281.738,0
1485534553.172,47.852,37.109,54.199,106.445,748.047,0
1485534553.176,62.988,34.180,55.176,71.289,-29.785,0
1485534553.180,48.340,13.672,30.762,55.664,-307.617,0
1485534553.183,49.316,17.090,30.762,66.406,-401.367,0
1485534553.187,35.645,23.438,38.574,86.914,5.859,0
1485534553.191,32.715,22.949,27.344,88.867,305.176,0
1485534553.195,35.156,20.020,26.855,52.246,3.418,0
1485534553.199,38.574,21.484,41.016,46.387,-58.594,0
1485534553.203,38.086,22.949,44.434,47.363,-13.672,0
1485534553.207,6.836,24.902,41.504,65.430,437.988,2
1485534553.211,-2.930,28.809,40.039,77.148,827.148,0
1485534553.215,4.395,25.879,39.062,32.227,217.773,0
1485534553.219,19.043,21.484,38.086,27.344,-249.023,0
1485534553.222,28.320,23.438,41.016,51.758,-434.082,0
1485534553.226,20.508,28.809,41.504,70.801,-35.645,0
1485534553.230,15.137,30.273,43.945,94.238,368.164,0
1485534553.234,35.645,27.832,41.504,57.129,85.938,0
1485534553.238,54.688,26.367,36.621,29.785,-175.293,0
1485534553.242,43.457,25.879,35.156,49.805,-406.738,0
1485534553.246,30.273,26.367,41.992,76.660,-136.719,0
1485534553.250,20.508,30.273,43.945,102.051,527.344,0
1485534553.254,35.645,24.902,38.574,73.242,541.504,0
1485534553.258,52.246,17.578,39.062,57.129,119.141,0
1485534553.262,52.246,20.996,37.109,59.570,-303.223,0
1485534553.265,55.664,39.062,49.805,81.543,-248.047,0
1485534553.269,46.387,47.363,60.059,118.652,627.441,0
1485534553.273,24.414,25.391,38.574,69.824,583.008,0
1485534553.277,40.039,23.438,18.555,47.852,-166.016,0
1485534553.281,56.152,26.367,28.320,71.777,-395.508,0
1485534553.285,31.250,24.414,39.062,73.242,-295.898,0
1485534553.289,16.113,27.832,38.086,98.145,199.707,0
1485534553.293,26.367,31.738,48.828,86.914,261.719,0
1485534553.297,40.527,30.273,41.992,44.922,166.504,0
1485534553.301,48.340,25.391,32.227,47.363,28.809,0
1485534553.304,33.691,24.414,35.156,63.477,-352.051,0
1485534553.308,22.461,28.320,37.109,79.590,371.094,0
1485534553.312,44.922,30.762,40.527,68.359,754.395,0
1485534553.316,51.758,31.250,40.039,46.387,85.938,0
1485534553.320,55.176,31.250,37.109,63.965,-251.953,0
1485534553.324,57.129,31.250,40.039,71.777,-387.207,0
1485534553.328,44.922,34.180,41.992,82.031,28.320,0
1485534553.332,62.500,38.574,36.621,86.914,326.660,0
1485534553.336,78.125,36.621,31.738,48.340,-79.102,0
1485534553.340,80.078,33.203,35.645,39.551,-341.309,0
1485534553.344,57.617,31.738,24.902,61.035,-161.133,0
1485534553.347,31.738,36.621,18.066,78.125,477.051,0
1485534553.351,34.668,38.086,35.156,76.660,771.973,0
1485534553.355,45.410,30.762,38.574,44.434,55.664,0
1485534553.359,53.223,29.297,36.133,46.387,-195.312,0
1485534553.363,54.688,32.715,42.969,53.711,-336.914,0
1485534553.367,30.762,30.273,40.527,72.754,-1.465,0
1485534553.371,28.809,28.809,40.039,90.820,376.465,0
1485534553.375,46.387,30.273,40.039,68.359,185.059,0
1485534553.379,34.668,25.391,41.016,53.223,-32.715,0
1485534553.383,41.504,27.832,43.945,55.176,-405.762,0
1485534553.387,30.762,35.645,41.504,76.660,-30.273,0
1485534553.390,12.695,34.180,41.504,94.727,669.922,0
1485534553.394,38.086,33.203,43.945,64.941,472.656,0
1485534553.398,72.754,44.922,51.758,56.152,-97.168,0
1485534553.402,50.293,34.668,41.504,70.312,-408.203,0
1485534553.406,9.766,22.461,28.809,70.312,-1.953,0
1485534553.410,13.184,28.809,39.551,80.078,620.605,0
1485534553.414,27.344,26.855,39.062,62.500,204.102,0
1485534553.418,40.527,23.926,27.344,47.852,-259.766,0
1485534553.422,47.363,24.902,37.109,46.875,-367.676,0
1485534553.426,30.762,24.414,41.992,61.035,-144.531,0
1485534553.429,8.789,26.367,42.480,77.637,629.395,0
1485534553.433,13.184,25.879,43.945,64.941,513.184,0
1485534553.437,37.598,26.367,36.133,47.852,149.902,0
1485534553.441,57.129,27.832,33.691,35.645,-7.812,0
1485534553.445,37.598,24.414,38.086,50.293,-256.348,0
1485534553.449,12.207,29.297,38.086,67.383,588.379,0
1485534553.453,30.273,30.273,41.504,58.105,672.852,0
1485534553.457,32.227,24.414,40.039,41.992,-200.684,0
1485534553.461,35.156,21.973,34.668,53.223,-371.582,0
1485534553.465,45.410,25.391,40.527,75.684,-305.664,0
1485534553.469,18.555,31.250,45.410,81.055,317.383,0
1485534553.472,18.066,31.738,43.457,64.941,407.715,0
1485534553.476,40.527,26.855,36.621,42.969,-202.148,0
1485534553.480,52.734,27.344,33.203,40.039,-341.309,0
1485534553.484,44.434,30.273,36.133,54.199,-24.902,0
1485534553.488,26.855,32.227,36.621,78.125,630.859,0
1485534553.492,24.414,33.203,27.832,83.984,822.266,0
1485534553.496,52.734,29.297,25.391,47.852,136.719,0
1485534553.500,52.246,26.855,37.109,46.387,-352.051,0
1485534553.504,39.062,28.809,40.527,65.430,-401.367,0
1485534553.508,26.855,31.250,43.457,74.707,59.082,0
1485534553.512,30.273,33.691,47.363,75.684,280.762,0
1485534553.515,55.664,29.297,43.945,46.387,-141.602,0
1485534553.519,53.223,20.508,39.551,47.852,-373.047,0
1485534553.523,44.922,17.090,37.109,56.152,-415.039,0
1485534553.527,21.484,22.461,36.133,71.289,99.609,0
1485534553.531,8.301,25.391,40.039,81.055,636.230,0
1485534553.535,40.039,26.855,41.504,49.805,414.551,0
1485534553.539,70.312,27.832,33.691,49.805,-91.797,0
1485534553.543,63.477,26.367,32.227,53.711,-442.871,0
1485534553.547,20.996,26.367,33.691,70.801,145.996,0
1485534553.551,24.902,26.855,36.133,87.402,863.770,0
1485534553.554,51.758,24.414,42.480,59.082,217.285,0
1485534553.558,55.176,24.414,40.039,51.758,-325.684,0
1485534553.562,60.059,25.879,41.992,63.477,-430.176,0
1485534553.566,39.062,27.832,34.668,86.914,16.602,0
1485534553.570,30.762,30.762,26.855,114.258,466.797,0
1485534553.574,51.758,30.273,40.527,86.914,26.367,0
1485534553.578,49.805,27.832,39.062,53.223,101.074,0
1485534553.582,44.922,26.367,36.133,57.617,-14.160,0
1485534553.586,30.273,24.902,40.527,80.078,-107.910,0
1485534553.590,14.160,26.367,39.062,96.680,719.727,0
1485534553.594,35.645,27.344,42.480,74.219,433.594,0
1485534553.597,60.059,25.879,39.062,47.852,-270.996,0
1485534553.601,55.176,22.461,38.574,48.340,-373.047,0
1485534553.605,32.227,21.484,40.039,58.105,-217.285,0
1485534553.609,12.207,26.855,38.086,87.402,428.223,0
1485534553.613,15.625,26.855,41.504,74.219,419.922,0
1485534553.617,39.551,21.484,33.691,27.832,-198.730,0
1485534553.621,70.801,37.109,44.922,63.477,-357.422,0
1485534553.625,44.434,36.621,54.199,88.379,1.953,0
1485534553.629,-7.324,17.090,33.691,70.312,723.633,0
1485534553.633,5.859,17.578,30.273,72.754,604.492,0
1485534553.636,36.133,18.555,30.762,44.434,-214.355,0
1485534553.640,49.316,19.043,33.203,41.992,-405.273,0
1485534553.644,44.922,24.902,25.879,60.547,-326.172,0
