timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1485533771.431,59.570,33.691,42.480,64.941,-120.605,0
1485533771.435,14.160,34.668,44.434,76.660,129.883,0
1485533771.439,1.465,36.621,43.945,65.918,114.258,0
1485533771.443,48.828,38.086,40.527,36.621,-171.387,0
1485533771.447,67.871,30.762,31.738,37.109,-265.137,0
1485533771.451,57.129,39.062,41.504,71.777,65.430,0
1485533771.455,29.297,55.176,56.152,95.215,598.633,0
1485533771.459,-10.742,34.668,41.992,71.777,612.305,0
1485533771.463,21.973,23.926,33.203,36.133,-71.289,0
1485533771.467,62.988,29.297,35.645,46.387,-317.383,0
1485533771.470,56.641,30.273,42.969,69.336,-187.012,0
1485533771.474,22.461,31.250,41.016,75.195,115.723,0
1485533771.478,1.953,35.156,33.691,85.449,150.391,0
1485533771.482,25.879,36.621,44.434,62.012,-147.949,0
1485533771.486,62.012,32.227,44.922,52.734,-234.375,0
1485533771.490,64.453,33.691,34.668,64.453,-59.570,0
1485533771.494,35.645,38.574,36.133,66.895,281.250,0
1485533771.498,4.395,41.504,44.922,84.473,491.699,0
1485533771.502,16.602,40.527,45.410,64.453,372.070,0
1485533771.506,64.941,37.109,39.062,46.387,18.555,0
1485533771.509,77.148,31.250,37.598,49.805,-269.043,0
1485533771.513,49.316,40.039,44.922,71.777,131.836,0
1485533771.517,24.902,55.176,62.012,97.656,694.824,0
1485533771.521,20.020,36.621,46.387,46.387,177.246,0
1485533771.525,48.340,24.414,24.902,26.855,-274.902,0
1485533771.529,70.312,27.832,31.738,48.828,-250.977,0
1485533771.533,42.969,33.691,37.598,62.012,15.137,0
1485533771.537,6.348,39.062,25.879,76.172,257.812,0
1485533771.541,9.766,36.133,35.156,64.941,-23.438,0
1485533771.545,48.828,34.668,44.922,45.410,33.203,0
1485533771.549,68.848,37.109,35.156,47.363,173.340,0
1485533771.552,46.875,39.551,37.598,51.270,145.508,0
1485533771.556,2.930,41.992,41.016,68.359,612.793,0
1485533771.560,-5.371,40.039,39.062,58.105,411.621,0
