timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
135131.215,11.230,31.738,27.832,11.719,-47.852,0
135131.219,35.156,30.273,29.297,26.367,18.555,0
135131.223,48.340,32.227,35.156,36.133,85.449,0
135131.227,33.691,32.227,22.461,19.043,70.312,0
135131.231,8.301,16.602,8.789,-3.906,13.672,0
135131.234,14.160,12.207,13.184,4.883,10.742,0
135131.238,28.320,21.973,19.043,20.020,67.871,0
135131.242,20.508,27.344,30.762,19.531,79.590,0
135131.246,4.883,28.320,37.109,9.277,34.180,0
135131.250,19.043,35.156,35.156,23.926,41.992,0
135131.254,40.039,30.273,25.391,46.875,97.656,0
135131.258,37.109,14.160,21.484,41.992,107.422,0
135131.260,25.391,26.367,23.926,24.414,42.969,0
135131.264,26.367,43.945,24.902,20.508,10.254,0
135131.268,41.992,46.387,22.949,33.203,88.867,0
135131.272,43.945,43.945,29.297,36.133,114.258,0
135131.276,18.555,35.156,33.691,8.789,32.715,0
135131.280,10.742,21.484,31.738,-4.395,-52.246,0
135131.283,30.273,20.020,27.344,19.043,-3.906,0
135131.287,45.410,34.180,19.531,38.574,62.988,0
135131.291,28.809,41.992,15.625,31.250,16.113,0
135131.295,6.836,38.574,22.461,15.137,-38.574,0
135131.299,11.230,25.391,31.250,14.648,-19.531,0
135131.303,28.320,25.879,35.645,33.691,81.543,0
135131.305,28.320,30.762,41.992,36.133,103.027,0
135131.309,16.113,28.320,52.246,22.949,6.348,0
135131.313,28.320,42.969,34.180,28.320,26.367,1
135131.317,42.969,42.480,9.277,31.250,92.773,0
135131.321,25.391,26.367,20.020,17.578,110.352,0
135131.324,9.766,25.391,28.809,5.859,99.121,0
135131.328,14.648,24.414,28.809,9.766,67.871,0
135131.332,29.785,24.902,28.320,26.855,88.379,0
135131.336,38.086,20.996,25.879,35.645,61.035,0
135131.340,25.879,26.367,30.762,27.832,28.320,0
135131.344,22.949,39.551,24.414,22.461,21.484,0
135131.348,42.969,31.738,0.977,35.156,39.062,0
135131.350,54.199,39.062,19.531,46.387,75.684,0
135131.354,39.062,57.617,50.293,37.109,7.812,0
135131.358,9.766,46.875,38.574,16.602,-45.410,0
135131.362,17.090,39.551,27.344,20.508,-1.953,0
135131.365,39.062,40.527,23.438,41.504,89.844,0
135131.369,29.785,36.133,19.531,37.598,86.426,0
135131.373,17.090,32.227,26.367,20.020,-15.625,0
135131.377,35.645,35.156,39.551,29.785,-46.875,0
135131.381,52.734,37.109,39.551,45.410,3.418,0
135131.385,42.480,33.691,26.855,33.691,40.039,0
135131.389,17.090,27.344,19.043,12.207,11.719,0
135131.393,8.301,23.926,12.695,6.836,0.000,0
135131.396,29.297,26.855,13.672,21.973,38.574,0
135131.400,40.039,28.809,12.695,30.762,91.309,0
135131.404,26.855,33.691,19.531,21.484,54.688,0
135131.408,19.531,39.551,36.133,15.625,-12.207,0
135131.412,39.551,45.410,39.062,33.203,20.996,0
135131.416,47.363,37.109,27.832,43.457,68.848,0
135131.420,26.367,26.367,13.184,26.367,49.316,0
135131.424,18.066,29.785,16.113,18.555,-9.766,0
135131.427,39.062,29.785,24.414,27.832,-13.184,0
135131.431,53.223,16.602,31.250,43.457,64.941,0
135131.435,50.293,25.879,34.668,53.223,70.312,0
135131.439,31.250,42.480,10.742,31.250,5.371,0
135131.440,14.160,34.668,-1.465,14.648,-23.438,0
135131.444,21.973,26.855,18.066,25.391,12.695,0
135131.448,26.855,29.785,38.574,27.832,46.387,0
135131.452,11.230,30.762,44.922,10.254,10.254,0
135131.456,3.906,30.273,41.016,2.930,-28.320,0
135131.459,25.879,26.855,38.574,23.438,4.883,0
135131.463,43.457,27.344,40.039,38.574,49.805,0
135131.467,33.203,33.203,38.574,26.367,-10.742,0
135131.471,23.438,30.762,30.273,14.160,-38.574,0
135131.475,37.598,34.180,21.973,25.879,-11.230,0
135131.479,47.852,40.039,21.973,39.551,-5.859,0
135131.483,30.762,35.645,21.973,29.785,-3.906,0
135131.485,16.113,36.133,20.996,17.090,-7.324,0
135131.489,29.297,43.945,32.715,28.320,0.977,0
135131.493,39.551,40.527,37.109,38.574,38.574,0
135131.497,34.180,29.297,36.621,34.180,41.504,0
135131.501,10.254,20.996,31.250,11.719,-42.480,0
135131.505,0.977,22.949,26.855,6.836,-50.781,0
135131.509,30.762,30.273,26.855,29.785,-0.488,0
135131.513,39.062,29.785,25.391,35.645,8.789,0
135131.517,20.508,25.879,30.273,22.949,-1.953,0
135131.520,25.391,23.438,29.785,21.973,-44.922,0
135131.524,43.945,26.367,28.320,36.133,-15.137,0
135131.528,50.293,30.762,37.598,46.875,35.645,0
135131.530,36.621,33.691,40.039,43.945,31.250,0
135131.534,19.043,33.203,21.973,32.227,-14.648,0
135131.538,25.879,29.785,9.766,37.598,-2.441,0
135131.542,49.805,35.645,32.227,56.641,56.152,0
135131.545,30.273,39.551,40.039,38.086,67.871,0
135131.549,-1.465,41.992,33.691,8.789,-15.625,0
135131.553,11.230,40.039,33.691,14.160,-47.363,0
135131.557,38.086,31.250,37.598,38.086,37.109,0
135131.561,33.691,20.996,34.668,36.133,88.379,0
