timestamps,TP9,AF7,AF8,TP10,Right AUX,Frequency,Contrast,Orientation
484110.991,40.527,30.762,28.809,50.781,69.824,0.000,0.000,0.000
484110.995,30.762,36.133,25.879,52.734,205.078,0.000,0.000,0.000
484110.999,20.996,37.109,32.227,23.926,-82.520,0.000,0.000,0.000
484111.003,28.320,33.203,32.227,17.578,-236.816,0.000,0.000,0.000
484111.007,44.922,35.645,29.297,48.828,-5.371,0.000,0.000,0.000
484111.011,38.574,37.109,35.645,64.453,227.539,0.000,0.000,0.000
484111.015,18.555,29.297,39.062,33.691,72.266,0.000,0.000,0.000
484111.018,23.438,28.809,34.180,10.254,-243.164,0.000,0.000,0.000
484111.022,28.809,27.344,25.879,22.949,-104.980,0.000,0.000,0.000
484111.026,31.250,27.832,26.367,45.410,264.160,0.000,0.000,0.000
484111.030,28.809,36.621,31.250,31.250,193.359,0.000,0.000,0.000
484111.034,23.438,38.574,35.645,5.371,-124.023,0.000,0.000,0.000
484111.038,32.715,34.668,32.227,16.113,-101.562,0.000,0.000,0.000
484111.042,42.480,34.668,27.344,49.805,219.238,0.000,0.000,0.000
484111.046,36.133,38.574,34.668,50.293,238.770,0.000,0.000,0.000
484111.050,25.391,39.551,40.039,20.996,-69.824,0.000,0.000,0.000
484111.054,32.715,35.156,31.738,16.602,-78.125,0.000,0.000,0.000
484111.057,43.945,33.203,26.367,46.875,236.816,0.000,0.000,0.000
484111.061,40.039,31.738,26.855,53.711,319.336,0.000,0.000,0.000
484111.065,25.391,33.203,35.156,25.391,15.137,0.000,0.000,0.000
484111.069,23.438,34.668,36.621,11.719,-199.219,0.000,0.000,0.000
484111.073,36.621,35.156,29.785,35.645,7.324,0.000,0.000,0.000
484111.077,38.574,33.691,33.691,54.688,253.906,0.000,0.000,0.000
484111.081,20.996,34.180,35.156,27.344,118.164,0.000,0.000,0.000
484111.085,22.461,35.156,31.250,7.324,-131.348,0.000,0.000,0.000
484111.089,36.133,30.273,26.367,28.809,-6.348,0.000,0.000,0.000
484111.093,45.898,32.715,28.809,58.105,318.359,0.000,0.000,0.000
484111.097,31.250,37.598,29.297,41.504,278.809,0.000,0.000,0.000
484111.100,20.020,34.668,31.250,11.230,-70.801,0.000,0.000,0.000
484111.104,31.738,30.762,31.738,20.020,-166.016,0.000,0.000,0.000
484111.108,32.715,29.297,24.902,45.898,131.348,0.000,0.000,0.000
484111.112,23.926,29.785,31.250,44.922,185.547,0.000,0.000,0.000
484111.116,14.648,30.273,31.250,13.672,-91.797,0.000,0.000,0.000
484111.120,30.273,27.832,30.762,13.184,-209.961,0.000,0.000,0.000
484111.124,43.945,24.414,31.250,46.875,10.254,0.000,0.000,0.000
484111.128,27.832,23.438,21.973,48.340,247.559,0.000,0.000,0.000
484111.132,18.066,30.273,28.320,22.949,34.180,0.000,0.000,0.000
484111.136,24.414,31.250,36.133,12.207,-192.383,0.000,0.000,0.000
484111.140,31.250,25.391,30.762,29.785,51.758,0.000,0.000,0.000
484111.143,35.156,30.762,34.180,53.711,316.895,0.000,0.000,0.000
484111.147,21.973,32.227,41.016,35.645,131.836,0.000,0.000,0.000
484111.151,20.996,27.832,40.527,9.766,-183.594,0.000,0.000,0.000
484111.155,41.992,30.762,37.598,27.344,-50.293,0.000,0.000,0.000
484111.159,42.480,31.250,30.273,54.688,327.637,0.000,0.000,0.000
484111.163,26.855,32.227,32.715,43.457,295.898,0.000,0.000,0.000
484111.167,24.414,36.133,35.156,18.066,-51.758,0.000,0.000,0.000
484111.171,36.621,37.598,29.785,22.461,-134.277,0.000,0.000,0.000
484111.175,40.527,32.715,27.344,46.875,161.621,0.000,0.000,0.000
484111.179,30.762,32.715,30.762,45.898,258.789,0.000,0.000,0.000
484111.182,17.090,34.668,32.227,16.602,-34.180,0.000,0.000,0.000
484111.186,22.461,31.738,29.785,10.742,-196.289,0.000,0.000,0.000
484111.190,37.598,33.691,26.367,45.410,33.203,0.000,0.000,0.000
484111.194,40.527,36.621,24.902,60.547,269.043,0.000,0.000,0.000
