timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0,Marker1,Marker2
149946.701,31.250,28.809,23.438,22.461,42.969,0.000,0.000,0.000
149946.705,26.855,27.344,18.066,20.996,44.434,0.000,0.000,0.000
149946.709,29.785,27.832,14.160,23.438,42.969,0.000,0.000,0.000
149946.713,34.180,32.715,4.395,22.461,43.945,0.000,0.000,0.000
149946.717,38.086,35.645,15.625,23.926,42.480,0.000,0.000,0.000
149946.721,36.133,36.133,31.250,27.832,43.945,0.000,0.000,0.000
149946.725,31.250,32.715,34.180,28.320,47.363,0.000,0.000,0.000
149946.729,31.738,31.738,35.156,29.297,42.969,0.000,0.000,0.000
149946.732,34.668,34.180,29.297,27.832,34.668,0.000,0.000,0.000
149946.736,25.879,32.227,18.066,21.973,30.273,0.000,0.000,0.000
149946.740,17.090,32.227,21.973,18.555,28.320,0.000,0.000,0.000
149946.744,15.137,30.762,31.738,19.043,26.855,0.000,0.000,0.000
149946.746,16.602,31.738,30.762,20.508,26.855,0.000,0.000,0.000
149946.750,17.090,30.273,23.438,19.043,20.020,0.000,0.000,0.000
149946.754,19.043,22.949,23.438,19.043,11.230,0.000,0.000,0.000
149946.758,20.020,27.344,30.762,20.996,6.836,0.000,0.000,0.000
149946.762,22.949,33.203,28.809,20.508,7.812,0.000,0.000,0.000
149946.765,29.297,29.785,26.367,20.508,10.742,0.000,0.000,0.000
149946.769,23.438,26.367,20.996,19.531,4.395,0.000,0.000,0.000
149946.773,21.484,24.902,14.160,18.555,7.324,0.000,0.000,0.000
149946.777,25.879,25.391,20.996,18.555,15.137,0.000,0.000,0.000
149946.781,22.461,23.438,29.785,17.578,10.254,0.000,0.000,0.000
149946.785,21.973,24.902,32.227,21.973,13.184,0.000,0.000,0.000
149946.789,19.043,24.902,20.996,24.902,24.902,0.000,0.000,0.000
149946.791,15.625,22.461,20.508,22.461,26.855,0.000,0.000,0.000
149946.795,17.578,23.926,32.227,20.020,31.738,0.000,0.000,0.000
149946.799,13.184,25.391,29.785,16.602,34.180,0.000,0.000,0.000
149946.803,5.859,26.855,26.367,15.625,36.621,0.000,0.000,0.000
149946.807,2.441,25.391,21.484,13.672,39.551,0.000,0.000,0.000
149946.811,7.324,24.902,19.043,17.090,42.480,0.000,0.000,0.000
149946.814,11.719,23.438,17.090,17.578,34.180,0.000,0.000,0.000
149946.818,12.695,26.855,20.020,20.508,22.949,0.000,0.000,0.000
149946.822,16.113,29.297,20.996,24.414,21.973,0.000,0.000,0.000
149946.826,20.508,27.344,19.531,22.461,29.297,0.000,0.000,0.000
149946.830,23.438,24.902,24.414,24.902,31.250,0.000,0.000,0.000
149946.834,25.879,26.855,23.926,30.273,31.738,0.000,0.000,0.000
149946.836,26.855,34.180,26.855,35.645,35.156,0.000,0.000,0.000
149946.840,23.438,32.227,29.785,33.203,26.855,0.000,0.000,0.000
149946.844,24.902,31.738,28.320,33.203,24.414,0.000,0.000,0.000
149946.848,27.344,36.133,21.484,35.645,36.621,0.000,0.000,0.000
149946.852,21.973,34.668,18.066,33.691,36.133,0.000,0.000,0.000
149946.856,20.508,33.691,23.438,31.250,23.438,0.000,0.000,0.000
149946.860,24.414,30.762,28.320,25.879,19.531,0.000,0.000,0.000
149946.864,22.461,26.367,28.809,23.438,14.160,0.000,0.000,0.000
149946.867,19.531,31.250,26.367,23.438,16.113,0.000,0.000,0.000
149946.871,18.555,32.227,23.438,20.508,21.973,0.000,0.000,0.000
149946.875,24.902,31.250,21.973,22.461,24.902,0.000,0.000,0.000
149946.879,30.762,31.738,12.207,27.344,30.762,0.000,0.000,0.000
149946.881,24.902,30.762,9.766,25.879,33.691,0.000,0.000,0.000
149946.885,24.902,30.273,31.250,25.391,34.668,0.000,0.000,0.000
149946.889,29.297,27.832,41.016,23.438,28.320,0.000,0.000,0.000
149946.893,27.832,27.344,40.527,20.020,22.949,0.000,0.000,0.000
149946.897,22.949,21.484,37.109,21.973,19.531,0.000,0.000,0.000
149946.901,22.949,20.996,33.691,27.344,24.414,0.000,0.000,0.000
149946.905,26.367,26.367,28.809,30.762,30.762,0.000,0.000,0.000
149946.909,27.344,25.879,22.461,28.809,28.320,0.000,0.000,0.000
149946.913,27.344,24.902,21.973,28.320,27.344,0.000,0.000,0.000
149946.917,23.438,22.949,24.902,29.297,32.715,0.000,0.000,0.000
149946.920,20.996,23.438,20.508,28.320,25.879,0.000,0.000,0.000
149946.924,21.973,23.926,22.949,28.320,17.090,0.000,0.000,0.000
149946.926,22.949,23.926,31.738,27.344,24.414,0.000,0.000,0.000
149946.930,23.438,29.297,28.809,27.832,29.297,0.000,0.000,0.000
149946.934,21.973,30.273,29.297,27.344,28.320,0.000,0.000,0.000
149946.938,20.020,28.320,28.809,25.879,22.949,0.000,0.000,0.000
149946.941,21.973,31.738,25.879,25.391,22.949,0.000,0.000,0.000
149946.945,24.414,34.180,25.391,29.785,30.273,0.000,0.000,0.000
149946.949,24.902,31.738,24.414,33.203,36.133,0.000,0.000,0.000
149946.953,28.320,33.691,27.832,30.762,40.039,0.000,0.000,0.000
149946.957,33.203,33.203,28.809,31.738,41.992,0.000,0.000,0.000
149946.961,34.180,27.344,27.344,34.668,44.922,0.000,0.000,0.000
149946.965,29.297,29.785,24.902,34.180,48.828,0.000,0.000,0.000
149946.969,28.809,33.203,28.320,35.645,47.852,0.000,0.000,0.000
149946.972,30.762,32.227,33.203,31.250,41.016,0.000,0.000,0.000
149946.976,27.344,32.715,23.438,25.879,35.645,0.000,0.000,0.000
149946.980,28.320,30.762,17.578,31.738,38.086,0.000,0.000,0.000
